Date,Price,Open,High,Low,Vol.,Change %
10-Sep-22,21650.4,21363.80,21790.60,21139.90,331.12K,1.33%
9-Sep-22,21365.2,19318.80,21545.70,19294.10,480.37K,10.60%
8-Sep-22,19317.4,19281.50,19444.70,19034.50,291.43K,0.19%
7-Sep-22,19281.5,18786.30,19445.90,18548.40,319.10K,2.64%
6-Sep-22,18786.4,19793.40,20169.30,18723.30,402.43K,-5.09%
5-Sep-22,19793.1,19999.90,20042.90,19650.70,238.71K,-1.03%
4-Sep-22,19999.9,19832.20,20017.80,19594.70,158.27K,0.85%
3-Sep-22,19831.4,19952.80,20043.80,19660.70,157.85K,-0.61%
2-Sep-22,19952.7,20131.60,20428.20,19764.70,272.22K,-0.86%
1-Sep-22,20126.1,20049.90,20202.70,19584.40,275.08K,0.41%
31-Aug-22,20043.9,19793.40,20469.10,19793.40,318.17K,1.27%
30-Aug-22,19792.6,20295.60,20558.20,19559.70,308.41K,-2.48%
29-Aug-22,20295.8,19551.30,20394.50,19551.20,248.04K,3.81%
28-Aug-22,19550.2,20034.20,20150.80,19542.90,159.60K,-2.41%
27-Aug-22,20033.9,20249.90,20343.60,19849.80,187.34K,-1.07%
26-Aug-22,20249.9,21564.20,21815.30,20122.40,322.16K,-6.10%
25-Aug-22,21565.4,21365.40,21801.20,21324.80,190.15K,0.94%
24-Aug-22,21365.2,21516.20,21832.30,21171.10,202.40K,-0.71%
23-Aug-22,21517.2,21416.50,21661.00,20919.60,228.65K,0.47%
22-Aug-22,21416.3,21516.80,21517.40,20912.10,251.83K,-0.47%
21-Aug-22,21517.2,21138.90,21692.40,21077.40,177.52K,1.79%
20-Aug-22,21138.9,20830.70,21357.40,20784.80,206.94K,1.48%
19-Aug-22,20831.3,23201.60,23202.30,20807.80,339.47K,-10.22%
18-Aug-22,23203.6,23337.70,23578.00,23131.30,160.97K,-0.58%
17-Aug-22,23338,23855.80,24423.50,23191.60,239.53K,-2.17%
16-Aug-22,23856.8,24102.60,24240.80,23693.80,201.70K,-1.02%
15-Aug-22,24101.7,24303.30,25205.70,23784.50,279.28K,-0.83%
14-Aug-22,24302.8,24442.10,24997.30,24172.20,177.25K,-0.57%
13-Aug-22,24442.5,24398.90,24882.90,24318.70,170.59K,0.18%
12-Aug-22,24398.7,23935.30,24440.80,23616.40,194.96K,1.94%
11-Aug-22,23935.3,23963.30,24873.50,23864.00,285.36K,-0.12%
10-Aug-22,23962.9,23150.30,24209.90,22714.70,243.61K,3.53%
9-Aug-22,23146.7,23818.10,23912.00,22886.50,169.62K,-2.81%
8-Aug-22,23816.3,23175.30,24234.10,23160.60,197.94K,2.77%
7-Aug-22,23175.3,22944.20,23387.70,22852.30,99.36K,1.01%
6-Aug-22,22944.2,23308.20,23344.40,22923.60,94.44K,-1.56%
5-Aug-22,23308.2,22613.30,23447.60,22593.50,208.90K,3.08%
4-Aug-22,22612.1,22822.20,23214.50,22438.70,181.19K,-0.91%
3-Aug-22,22820.8,22988.70,23623.70,22698.60,174.66K,-0.73%
2-Aug-22,22988.6,23271.10,23423.30,22670.80,177.30K,-1.21%
1-Aug-22,23271.2,23303.40,23484.40,22863.80,162.33K,-0.14%
31-Jul-22,23303.4,23634.20,24179.30,23236.20,138.84K,-1.40%
30-Jul-22,23634.2,23774.20,24605.30,23521.80,168.72K,-0.59%
29-Jul-22,23774.3,23850.20,24340.00,23451.40,221.66K,-0.32%
28-Jul-22,23850,22957.70,24190.50,22611.60,268.32K,3.88%
27-Jul-22,22958.3,21248.00,23027.80,21047.50,242.66K,8.05%
26-Jul-22,21248.7,21301.60,21322.30,20737.30,201.57K,-0.25%
25-Jul-22,21301.9,22582.30,22653.30,21275.40,206.93K,-5.67%
24-Jul-22,22582.1,22449.80,22987.90,22281.30,126.66K,0.54%
23-Jul-22,22460.4,22683.60,22991.00,21971.70,137.42K,-0.95%
22-Jul-22,22675.2,23150.00,23741.40,22524.20,197.54K,-2.06%
21-Jul-22,23153,23219.90,23403.80,22360.20,217.08K,-0.27%
20-Jul-22,23215.2,23412.00,24258.00,22944.40,281.31K,-0.83%
19-Jul-22,23410.2,22529.30,23757.30,21581.80,308.91K,3.93%
18-Jul-22,22525.8,20785.60,22714.90,20770.60,279.72K,8.37%
17-Jul-22,20785.6,21209.80,21654.40,20755.20,132.81K,-2.00%
16-Jul-22,21209.9,20825.20,21561.30,20484.40,136.89K,1.85%
15-Jul-22,20825.1,20586.10,21178.10,20393.40,164.67K,1.16%
14-Jul-22,20586,20250.00,20862.20,19664.90,205.28K,1.66%
13-Jul-22,20250,19331.60,20250.80,18942.20,249.38K,4.75%
12-Jul-22,19330.9,19963.20,20051.70,19279.60,167.91K,-3.17%
11-Jul-22,19963.2,20847.20,20855.00,19897.00,160.20K,-4.24%
10-Jul-22,20847.4,21587.40,21599.20,20689.70,204.68K,-3.43%
9-Jul-22,21587.5,21610.40,21944.10,21338.40,190.11K,-0.11%
8-Jul-22,21611.2,21637.10,22482.10,21207.00,439.90K,-0.12%
7-Jul-22,21637.8,20557.90,21817.80,20282.70,115.81K,5.24%
6-Jul-22,20561.1,20180.40,20654.90,19785.30,105.24K,1.78%
5-Jul-22,20200.6,20215.80,20706.90,19315.40,122.43K,-0.08%
4-Jul-22,20215.8,19310.60,20303.80,19052.50,92.79K,4.69%
3-Jul-22,19309.9,19243.40,19626.40,18794.40,65.27K,0.35%
2-Jul-22,19243.2,19275.40,19425.40,19006.40,58.57K,-0.10%
1-Jul-22,19262.9,19926.60,20785.60,18980.10,150.18K,-3.33%
30-Jun-22,19926.6,20111.30,20155.10,18682.70,127.73K,-0.92%
29-Jun-22,20111.3,20278.00,20415.80,19880.70,98.97K,-0.82%
28-Jun-22,20278,20727.90,21200.20,20210.50,83.83K,-2.18%
27-Jun-22,20730.2,21037.70,21497.50,20568.00,84.69K,-1.49%
26-Jun-22,21043.5,21489.90,21837.40,20989.70,67.21K,-2.08%
25-Jun-22,21489.9,21226.90,21553.40,20917.50,66.63K,1.24%
24-Jun-22,21226.9,21100.90,21488.70,20743.90,104.56K,0.60%
23-Jun-22,21100.7,19967.30,21189.80,19907.50,110.70K,5.68%
22-Jun-22,19965.8,20720.20,20864.30,19780.20,125.94K,-3.64%
21-Jun-22,20720.4,20571.60,21689.30,20371.70,136.32K,0.72%
20-Jun-22,20572.3,20576.90,20996.80,19658.80,140.60K,-0.02%
19-Jun-22,20577.2,18983.40,20763.50,17983.70,169.39K,8.38%
18-Jun-22,18986.5,20446.40,20744.70,17630.50,267.25K,-7.13%
17-Jun-22,20444.6,20391.30,21315.40,20244.10,136.27K,0.28%
16-Jun-22,20386.6,22577.90,22942.10,20231.10,144.00K,-9.71%
15-Jun-22,22577.9,22137.50,22754.40,20125.80,280.41K,1.90%
14-Jun-22,22157.3,22449.10,23200.30,20860.90,251.01K,-1.29%
13-Jun-22,22448,26606.30,26857.60,22006.30,379.26K,-15.63%
12-Jun-22,26606.3,28404.00,28534.80,26606.30,120.02K,-6.33%
11-Jun-22,28403.4,29083.30,29426.60,28161.80,82.92K,-2.34%
10-Jun-22,29083.3,30097.40,30325.60,28884.90,104.26K,-3.37%
9-Jun-22,30097.8,30202.10,30691.40,29953.80,61.72K,-0.34%
8-Jun-22,30201.6,31127.20,31312.10,29874.80,87.96K,-2.98%
7-Jun-22,31128.8,31370.30,31556.60,29235.00,140.32K,-0.76%
6-Jun-22,31367.6,29911.20,31753.40,29888.60,94.01K,4.86%
5-Jun-22,29913,29865.10,30166.90,29539.00,30.33K,0.16%
4-Jun-22,29864.3,29700.90,29963.80,29489.50,33.51K,0.55%
3-Jun-22,29700.9,30455.70,30674.80,29330.80,72.13K,-2.48%
2-Jun-22,30455.5,29798.60,30638.50,29604.40,81.40K,2.20%
1-Jun-22,29798.5,31793.10,31969.90,29396.60,135.09K,-6.27%
31-May-22,31793.4,31730.20,32377.50,31221.20,86.60K,0.22%
30-May-22,31723.3,29465.20,32185.60,29307.20,129.56K,7.66%
29-May-22,29465.2,29027.10,29556.50,28838.70,36.87K,1.51%
28-May-22,29027.1,28620.10,29194.40,28537.20,43.87K,1.49%
27-May-22,28601.2,29194.00,29377.10,28282.20,116.41K,-2.06%
26-May-22,29203.5,29537.90,29868.90,28077.90,126.71K,-1.14%
25-May-22,29540.6,29648.70,30202.30,29353.50,78.85K,-0.36%
24-May-22,29648.7,29091.60,29810.80,28706.10,79.42K,1.91%
23-May-22,29093.3,30287.30,30644.80,28913.60,92.10K,-3.94%
22-May-22,30286.6,29433.00,30462.00,29260.10,50.60K,2.89%
21-May-22,29434.6,29188.70,29623.20,28953.90,32.27K,0.88%
20-May-22,29178.6,30305.90,30735.10,28738.50,98.78K,-3.72%
19-May-22,30305.9,28700.40,30525.10,28682.10,101.38K,5.66%
18-May-22,28683.7,30437.50,30687.90,28648.10,92.03K,-5.76%
17-May-22,30437.5,29856.70,30720.10,29484.50,79.63K,1.97%
16-May-22,29849,31308.30,31312.40,29135.80,100.25K,-4.66%
15-May-22,31308.7,30078.60,31383.80,29499.40,65.44K,4.08%
14-May-22,30080.4,29285.20,30277.40,28666.70,70.46K,2.72%
13-May-22,29284.4,28994.30,31002.70,28755.00,141.23K,1.06%
12-May-22,28976,29073.40,30136.70,26500.50,309.48K,-0.32%
11-May-22,29068.2,31008.00,32113.60,27835.50,296.90K,-6.25%
10-May-22,31007.5,30098.20,32621.20,29831.00,235.61K,3.03%
9-May-22,30095,34041.00,34227.00,30095.00,268.09K,-11.64%
8-May-22,34060,35468.00,35497.00,33727.00,671.05M,-3.97%
7-May-22,35468,36003.00,36119.00,34773.00,288.86M,-1.50%
6-May-22,36009,36540.00,36646.00,35267.00,752.84M,-1.46%
5-May-22,36544,39686.00,39833.00,36183.00,1.04B,-7.92%
4-May-22,39688,37717.00,40021.00,37660.00,691.49M,5.22%
3-May-22,37718,38515.00,38647.00,37513.00,367.21M,-2.07%
2-May-22,38514,38472.00,39134.00,38061.00,580.79M,0.14%
1-May-22,38461,37642.00,38676.00,37397.00,276.99M,2.15%
30-Apr-22,37650,38590.00,38776.00,37596.00,248.22M,-2.41%
29-Apr-22,38581,39748.00,39919.00,38175.00,382.90M,-2.94%
28-Apr-22,39748,39243.00,40382.00,38888.00,542.39M,1.29%
27-Apr-22,39243,38113.00,39447.00,37869.00,426.83M,2.96%
26-Apr-22,38113,40443.00,40770.00,37708.00,681.47M,-5.72%
25-Apr-22,40427,39464.00,40599.00,38233.00,654.60M,2.44%
24-Apr-22,39464,39434.00,39929.00,39033.00,283.63M,0.12%
23-Apr-22,39418,39709.00,39973.00,39291.00,190.60M,-0.73%
22-Apr-22,39709,40487.00,40792.00,39200.00,421.30M,-1.91%
21-Apr-22,40482,41370.00,42969.00,39793.00,493.05M,-2.14%
20-Apr-22,41368,41499.00,42203.00,40915.00,382.84M,-0.33%
19-Apr-22,41503,40809.00,41746.00,40585.00,268.28M,1.72%
18-Apr-22,40803,39700.00,41095.00,38577.00,484.26M,2.77%
17-Apr-22,39703,40382.00,40599.00,39561.00,210.01M,-1.68%
16-Apr-22,40382,40571.00,40691.00,40003.00,151.31M,-0.44%
15-Apr-22,40560,39936.00,40850.00,39781.00,233.09M,1.56%
14-Apr-22,39936,41133.00,41494.00,39585.00,294.29M,-2.91%
13-Apr-22,41133,40072.00,41515.00,39581.00,406.70M,2.63%
12-Apr-22,40078,39507.00,40678.00,39265.00,468.27M,1.47%
11-Apr-22,39497,42144.00,42418.00,39202.00,608.38M,-6.27%
10-Apr-22,42138,42760.00,43421.00,41884.00,255.83M,-1.47%
9-Apr-22,42767,42275.00,42809.00,42129.00,165.16M,1.16%
8-Apr-22,42275,43450.00,43979.00,42113.00,467.83M,-2.70%
7-Apr-22,43448,43166.00,43893.00,42747.00,390.85M,0.64%
6-Apr-22,43173,45494.00,45519.00,43122.00,649.52M,-5.13%
5-Apr-22,45506,46614.00,47201.00,45388.00,421.11M,-2.41%
4-Apr-22,46629,46407.00,46899.00,45152.00,446.12M,0.48%
3-Apr-22,46407,45813.00,47435.00,45554.00,398.86M,1.30%
2-Apr-22,45811,46299.00,47212.00,45641.00,345.93M,-1.05%
1-Apr-22,46297,45529.00,46728.00,44261.00,632.93M,1.70%
